,State,County,FIPS,Year,Population
6286,AL,AUTAUGA,1001,2008,53277.0
6287,AL,BALDWIN,1003,2008,175827.0
6288,AL,BARBOUR,1005,2008,27808.0
6289,AL,BIBB,1007,2008,22705.0
6290,AL,BLOUNT,1009,2008,57055.0
6291,AL,BULLOCK,1011,2008,10953.0
6292,AL,BUTLER,1013,2008,20949.0
6293,AL,CALHOUN,1015,2008,117274.0
6294,AL,CHAMBERS,1017,2008,34563.0
6295,AL,CHEROKEE,1019,2008,25636.0
6296,AL,CHILTON,1021,2008,43239.0
6297,AL,CHOCTAW,1023,2008,14114.0
6298,AL,CLARKE,1025,2008,26283.0
6299,AL,CLAY,1027,2008,14161.0
6300,AL,CLEBURNE,1029,2008,14874.0
6301,AL,COFFEE,1031,2008,48516.0
6302,AL,COLBERT,1033,2008,54473.0
6303,AL,CONECUH,1035,2008,13388.0
6304,AL,COOSA,1037,2008,11493.0
6305,AL,COVINGTON,1039,2008,37545.0
6306,AL,CRENSHAW,1041,2008,13922.0
6307,AL,CULLMAN,1043,2008,80273.0
6308,AL,DALE,1045,2008,49871.0
6309,AL,DALLAS,1047,2008,44265.0
6310,AL,DE KALB,1049,2008,70228.0
6311,AL,ELMORE,1051,2008,77698.0
6312,AL,ESCAMBIA,1053,2008,37929.0
6313,AL,ETOWAH,1055,2008,104206.0
6314,AL,FAYETTE,1057,2008,17541.0
6315,AL,FRANKLIN,1059,2008,31459.0
6316,AL,GENEVA,1061,2008,26646.0
6317,AL,GREENE,1063,2008,9359.0
6318,AL,HALE,1065,2008,16260.0
6319,AL,HENRY,1067,2008,17129.0
6320,AL,HOUSTON,1069,2008,99183.0
6321,AL,JACKSON,1071,2008,53525.0
6322,AL,JEFFERSON,1073,2008,656510.0
6323,AL,LAMAR,1075,2008,14799.0
6324,AL,LAUDERDALE,1077,2008,92202.0
6325,AL,LAWRENCE,1079,2008,34196.0
6326,AL,LEE,1081,2008,134524.0
6327,AL,LIMESTONE,1083,2008,78835.0
6328,AL,LOWNDES,1085,2008,11813.0
6329,AL,MACON,1087,2008,21597.0
6330,AL,MADISON,1089,2008,323526.0
6331,AL,MARENGO,1091,2008,21331.0
6332,AL,MARION,1093,2008,30918.0
6333,AL,MARSHALL,1095,2008,91072.0
6334,AL,MOBILE,1097,2008,409196.0
6335,AL,MONROE,1099,2008,23393.0
6336,AL,MONTGOMERY,1101,2008,227461.0
6337,AL,MORGAN,1103,2008,117694.0
