YEAR,STATE,,COUNTY,POPULATION
2003,Alabama,,Autauga,46348
2003,Alabama,,Baldwin,151574
2003,Alabama,,Barbour,28805
2003,Alabama,,Bibb,21224
2003,Alabama,,Blount,54195
2003,Alabama,,Bullock,11330
2003,Alabama,,Butler,20765
2003,Alabama,,Calhoun,112097
2003,Alabama,,Chambers,35804
2003,Alabama,,Cherokee,24431
2003,Alabama,,Chilton,40996
2003,Alabama,,Choctaw,15351
2003,Alabama,,Clarke,27448
2003,Alabama,,Clay,14213
2003,Alabama,,Cleburne,14623
2003,Alabama,,Coffee,44500
2003,Alabama,,Colbert,54675
2003,Alabama,,Conecuh,13577
2003,Alabama,,Coosa,11573
2003,Alabama,,Covington,36929
2003,Alabama,,Crenshaw,13672
2003,Alabama,,Cullman,78498
2003,Alabama,,Dale,49332
2003,Alabama,,Dallas,45071
2003,Alabama,,DeKalb,66368
2003,Alabama,,Elmore,70623
2003,Alabama,,Escambia,38332
2003,Alabama,,Etowah,103119
2003,Alabama,,Fayette,18295
2003,Alabama,,Franklin,30817
2003,Alabama,,Geneva,25556
2003,Alabama,,Greene,9901
2003,Alabama,,Hale,18328
2003,Alabama,,Henry,16471
2003,Alabama,,Houston,91576
2003,Alabama,,Jackson,53929
2003,Alabama,,Jefferson,659191
2003,Alabama,,Lamar,15183
2003,Alabama,,Lauderdale,87112
2003,Alabama,,Lawrence,34529
2003,Alabama,,Lee,119148
2003,Alabama,,Limestone,68255
2003,Alabama,,Lowndes,13415
2003,Alabama,,Macon,23494
2003,Alabama,,Madison,289343
2003,Alabama,,Marengo,22204
2003,Alabama,,Marion,30256
2003,Alabama,,Marshall,84110
2003,Alabama,,Mobile,399943
2003,Alabama,,Monroe,23833
2003,Alabama,,Montgomery,222516
2003,Alabama,,Morgan,112856
2003,Alabama,,Perry,11685
2003,Alabama,,Pickens,20545
2003,Alabama,,Pike,29147
2003,Alabama,,Randolph,22389
2003,Alabama,,Russell,48998
2003,Alabama,,St Clair,68590
2003,Alabama,,Shelby,159641
2003,Alabama,,Sumter,14202
2003,Alabama,,Talladega,80107
2003,Alabama,,Tallapoosa,40805
2003,Alabama,,Tuscaloosa,166178
2003,Alabama,,Walker,70132
2003,Alabama,,Washington,17932
2003,Alabama,,Wilcox,13045
2003,Alabama,,Winston,24596
2003,Alaska,,Aleutians East,2715
2003,Alaska,,Aleutians West,5470
2003,Alaska,,Anchorage,270865
2003,Alaska,,Bethel,16828
2003,Alaska,,Bristol Bay Borough,1117
2003,Alaska,,Denali,1879
2003,Alaska,,Dillingham,4904
2003,Alaska,,Fairbanks North Star,85223
2003,Alaska,,Haines,2300
2003,Alaska,,Hoonah-Angoon,3154
2003,Alaska,,Juneau,31049
2003,Alaska,,Kenai Peninsula,51287
2003,Alaska,,Ketchikan Gateway,13351
2003,Alaska,,Kodiak Island,13352
2003,Alaska,,Lake and Peninsula,1587
2003,Alaska,,Matanuska-Susitna,68414
2003,Alaska,,Nome,9186
2003,Alaska,,North Slope,7194
2003,Alaska,,Northwest Arctic,7402
2003,Alaska,,Petersburg,6303
2003,Alaska,,Prince of Wales-Hyder,5781
2003,Alaska,,Sitka,8867
2003,Alaska,,Skagway,0
2003,Alaska,,Southeast Fairbanks,5733
2003,Alaska,,Valdez-Cordova,9993
2003,Alaska,,Wade Hampton,7287
2003,Alaska,,Wrangell,0
2003,Alaska,,Yakutat,716
2003,Alaska,,Yukon-Koyukuk,6323
2003,Arizona,,Apache,68388
2003,Arizona,,Cochise,121736
2003,Arizona,,Coconino,121172
2003,Arizona,,Gila,51344
2003,Arizona,,Graham,33062
2003,Arizona,,Greenlee,7548
2003,Arizona,,La Paz,19696
2003,Arizona,,Maricopa,3388768
2003,Arizona,,Mohave,172248
2003,Arizona,,Navajo,104379
2003,Arizona,,Pima,890987
2003,Arizona,,Pinal,204529
2003,Arizona,,Santa Cruz,40185
2003,Arizona,,Yavapai,184576
2003,Arizona,,Yuma,170604
2003,Arkansas,,Arkansas,20147
2003,Arkansas,,Ashley,23736
2003,Arkansas,,Baxter,39129
2003,Arkansas,,Benton,172263
2003,Arkansas,,Boone,34791
2003,Arkansas,,Bradley,12430
2003,Arkansas,,Calhoun,5601
2003,Arkansas,,Carroll,26451
2003,Arkansas,,Chicot,13452
2003,Arkansas,,Clark,23133
2003,Arkansas,,Clay,16922
2003,Arkansas,,Cleburne,24757
2003,Arkansas,,Cleveland,8742
2003,Arkansas,,Columbia,24853
2003,Arkansas,,Conway,20527
2003,Arkansas,,Craighead,84740
2003,Arkansas,,Crawford,55655
2003,Arkansas,,Crittenden,51170
2003,Arkansas,,Cross,19174
2003,Arkansas,,Dallas,8722
2003,Arkansas,,Desha,14707
2003,Arkansas,,Drew,18583
2003,Arkansas,,Faulkner,92882
2003,Arkansas,,Franklin,17972
2003,Arkansas,,Fulton,11663
2003,Arkansas,,Garland,91192
2003,Arkansas,,Grant,16946
2003,Arkansas,,Greene,38468
2003,Arkansas,,Hempstead,23401
2003,Arkansas,,Hot Spring,30615
2003,Arkansas,,Howard,14468
2003,Arkansas,,Independence,34479
2003,Arkansas,,Izard,13328
2003,Arkansas,,Jackson,17461
2003,Arkansas,,Jefferson,83020
2003,Arkansas,,Johnson,23462
2003,Arkansas,,Lafayette,8366
2003,Arkansas,,Lawrence,17504
2003,Arkansas,,Lee,11902
2003,Arkansas,,Lincoln,14483
2003,Arkansas,,Little River,13406
2003,Arkansas,,Logan,22820
2003,Arkansas,,Lonoke,56727
2003,Arkansas,,Madison,14423
2003,Arkansas,,Marion,16217
2003,Arkansas,,Miller,41961
2003,Arkansas,,Mississippi,48995
2003,Arkansas,,Monroe,9667
2003,Arkansas,,Montgomery,9222
2003,Arkansas,,Nevada,9670
2003,Arkansas,,Newton,8596
2003,Arkansas,,Ouachita,27679
2003,Arkansas,,Perry,10405
2003,Arkansas,,Phillips,24608
2003,Arkansas,,Pike,11070
2003,Arkansas,,Poinsett,25388
2003,Arkansas,,Polk,20214
2003,Arkansas,,Pope,55285
2003,Arkansas,,Prairie,9332
2003,Arkansas,,Pulaski,364907
2003,Arkansas,,Randolph,18209
2003,Arkansas,,St Francis,28501
2003,Arkansas,,Saline,87438
2003,Arkansas,,Scott,10997
2003,Arkansas,,Searcy,7978
2003,Arkansas,,Sebastian,117325
2003,Arkansas,,Sevier,15896
2003,Arkansas,,Sharp,17464
2003,Arkansas,,Stone,11601
2003,Arkansas,,Union,44908
2003,Arkansas,,Van Buren,16441
2003,Arkansas,,Washington,169765
2003,Arkansas,,White,69578
2003,Arkansas,,Woodruff,8315
2003,Arkansas,,Yell,21469
2003,California,,Alameda,1458749
2003,California,,Alpine,1188
2003,California,,Amador,37331
2003,California,,Butte,211151
2003,California,,Calaveras,44727
2003,California,,Colusa,19755
2003,California,,Contra Costa,999930
2003,California,,Del Norte,27902
2003,California,,El Dorado,169199
2003,California,,Fresno,850650
2003,California,,Glenn,27227
2003,California,,Humboldt,127908
2003,California,,Imperial,148924
2003,California,,Inyo,18364
2003,California,,Kern,713445
2003,California,,Kings,138708
2003,California,,Lake,63397
2003,California,,Lassen,34153
2003,California,,Los Angeles,9860382
2003,California,,Madera,133696
2003,California,,Marin,246635
2003,California,,Mariposa,17797
2003,California,,Mendocino,88476
2003,California,,Merced,231397
2003,California,,Modoc,9465
2003,California,,Mono,12831
2003,California,,Monterey,414423
2003,California,,Napa,131751
2003,California,,Nevada,96252
2003,California,,Orange,2960149
2003,California,,Placer,293630
2003,California,,Plumas,21198
2003,California,,Riverside,1782822
2003,California,,Sacramento,1330730
2003,California,,San Benito,56187
2003,California,,San Bernardino,1862195
2003,California,,San Diego,2918829
2003,California,,San Francisco,751908
2003,California,,San Joaquin,631876
2003,California,,San Luis Obispo,253072
2003,California,,San Mateo,699094
2003,California,,Santa Barbara,402795
2003,California,,Santa Clara,1675915
2003,California,,Santa Cruz,251725
2003,California,,Shasta,175654
2003,California,,Sierra,3546
2003,California,,Siskiyou,44630
2003,California,,Solano,411636
2003,California,,Sonoma,467304
2003,California,,Stanislaus,491014
2003,California,,Sutter,84670
2003,California,,Tehama,58892
2003,California,,Trinity,13502
2003,California,,Tulare,391084
2003,California,,Tuolumne,56790
2003,California,,Ventura,790560
2003,California,,Yolo,181898
2003,California,,Yuba,63594
2003,Colorado,,Adams,381370
2003,Colorado,,Alamosa,15076
2003,Colorado,,Arapahoe,516209
2003,Colorado,,Archuleta,11363
2003,Colorado,,Baca,4164
2003,Colorado,,Bent,5642
2003,Colorado,,Boulder,277467
2003,Colorado,,Broomfield,42256
2003,Colorado,,Chaffee,16870
2003,Colorado,,Cheyenne,2058
2003,Colorado,,Clear Creek,9510
2003,Colorado,,Conejos,8390
2003,Colorado,,Costilla,3572
2003,Colorado,,Crowley,5473
2003,Colorado,,Custer,3802
2003,Colorado,,Delta,29380
2003,Colorado,,Denver,556039
2003,Colorado,,Dolores,1813
2003,Colorado,,Douglas,224419
2003,Colorado,,Eagle,45203
2003,Colorado,,Elbert,22240
2003,Colorado,,El Paso,547816
2003,Colorado,,Fremont,47623
2003,Colorado,,Garfield,47786
2003,Colorado,,Gilpin,4891
2003,Colorado,,Grand,13021
2003,Colorado,,Gunnison,13955
2003,Colorado,,Hinsdale,777
2003,Colorado,,Huerfano,7861
2003,Colorado,,Jackson,1488
2003,Colorado,,Jefferson,528405
2003,Colorado,,Kiowa,1463
2003,Colorado,,Kit Carson,7846
2003,Colorado,,Lake,7691
2003,Colorado,,La Plata,46155
2003,Colorado,,Larimer,266609
2003,Colorado,,Las Animas,15532
2003,Colorado,,Lincoln,5879
2003,Colorado,,Logan,20949
2003,Colorado,,Mesa,124755
2003,Colorado,,Mineral,888
2003,Colorado,,Moffat,13424
2003,Colorado,,Montezuma,24491
2003,Colorado,,Montrose,35943
2003,Colorado,,Morgan,27963
2003,Colorado,,Otero,19743
2003,Colorado,,Ouray,4005
2003,Colorado,,Park,16522
2003,Colorado,,Phillips,4501
2003,Colorado,,Pitkin,14874
2003,Colorado,,Prowers,14137
2003,Colorado,,Pueblo,149014
2003,Colorado,,Rio Blanco,5998
2003,Colorado,,Rio Grande,12315
2003,Colorado,,Routt,20751
2003,Colorado,,Saguache,6668
2003,Colorado,,San Juan,568
2003,Colorado,,San Miguel,7141
2003,Colorado,,Sedgwick,2654
2003,Colorado,,Summit,25005
2003,Colorado,,Teller,21703
2003,Colorado,,Washington,4795
2003,Colorado,,Weld,211879
2003,Colorado,,Yuma,9833
2003,Connecticut,,Fairfield,899683
2003,Connecticut,,Hartford,873001
2003,Connecticut,,Litchfield,187961
2003,Connecticut,,Middlesex,161637
2003,Connecticut,,New Haven,841445
2003,Connecticut,,New London,265184
2003,Connecticut,,Tolland,145285
2003,Connecticut,,Windham,112764
2003,Delaware,,Kent,134596
2003,Delaware,,New Castle,515149
2003,Delaware,,Sussex,168421
2003,District Of Columbia,,District of Columbia,557620
2003,Florida,,Alachua,221717
2003,Florida,,Baker,23435
2003,Florida,,Bay,154888
2003,Florida,,Bradford,26969
2003,Florida,,Brevard,505756
2003,Florida,,Broward,1728916
