,State,County,FIPS,Year,Population
0,AL,AUTAUGA,1001,2006,51328.0
1,AL,BALDWIN,1003,2006,168121.0
2,AL,BARBOUR,1005,2006,27861.0
3,AL,BIBB,1007,2006,22099.0
4,AL,BLOUNT,1009,2006,55485.0
5,AL,BULLOCK,1011,2006,10776.0
6,AL,BUTLER,1013,2006,20815.0
7,AL,CALHOUN,1015,2006,115388.0
8,AL,CHAMBERS,1017,2006,34945.0
9,AL,CHEROKEE,1019,2006,25466.0
10,AL,CHILTON,1021,2006,42318.0
11,AL,CHOCTAW,1023,2006,14431.0
12,AL,CLARKE,1025,2006,26755.0
13,AL,CLAY,1027,2006,14053.0
14,AL,CLEBURNE,1029,2006,14538.0
15,AL,COFFEE,1031,2006,46228.0
16,AL,COLBERT,1033,2006,54413.0
17,AL,CONECUH,1035,2006,13603.0
18,AL,COOSA,1037,2006,11451.0
19,AL,COVINGTON,1039,2006,37441.0
20,AL,CRENSHAW,1041,2006,13880.0
21,AL,CULLMAN,1043,2006,79044.0
22,AL,DALE,1045,2006,49077.0
23,AL,DALLAS,1047,2006,44323.0
24,AL,DE KALB,1049,2006,68495.0
25,AL,ELMORE,1051,2006,75246.0
26,AL,ESCAMBIA,1053,2006,37673.0
27,AL,ETOWAH,1055,2006,103528.0
28,AL,FAYETTE,1057,2006,17767.0
29,AL,FRANKLIN,1059,2006,31134.0
30,AL,GENEVA,1061,2006,26271.0
31,AL,GREENE,1063,2006,9361.0
32,AL,HALE,1065,2006,16427.0
33,AL,HENRY,1067,2006,16953.0
34,AL,HOUSTON,1069,2006,95846.0
35,AL,JACKSON,1071,2006,53483.0
36,AL,JEFFERSON,1073,2006,655893.0
37,AL,LAMAR,1075,2006,14816.0
38,AL,LAUDERDALE,1077,2006,90294.0
39,AL,LAWRENCE,1079,2006,34028.0
40,AL,LEE,1081,2006,129247.0
41,AL,LIMESTONE,1083,2006,73651.0
42,AL,LOWNDES,1085,2006,12124.0
43,AL,MACON,1087,2006,22227.0
44,AL,MADISON,1089,2006,309170.0
45,AL,MARENGO,1091,2006,21531.0
46,AL,MARION,1093,2006,30779.0
47,AL,MARSHALL,1095,2006,88209.0
48,AL,MOBILE,1097,2006,402916.0
49,AL,MONROE,1099,2006,23602.0
50,AL,MONTGOMERY,1101,2006,227291.0
51,AL,MORGAN,1103,2006,115491.0
52,AL,PERRY,1105,2006,10677.0
53,AL,PICKENS,1107,2006,20128.0
54,AL,PIKE,1109,2006,31309.0
55,AL,RANDOLPH,1111,2006,22695.0
56,AL,RUSSELL,1113,2006,50459.0
57,AL,SAINT CLAIR,1115,2006,75948.0
58,AL,SHELBY,1117,2006,178841.0
59,AL,SUMTER,1119,2006,14059.0
60,AL,TALLADEGA,1121,2006,81991.0
61,AL,TALLAPOOSA,1123,2006,41243.0
62,AL,TUSCALOOSA,1125,2006,181383.0
63,AL,WALKER,1127,2006,68234.0
64,AL,WASHINGTON,1129,2006,17705.0
65,AL,WILCOX,1131,2006,12221.0
66,AL,WINSTON,1133,2006,24796.0
94,AZ,APACHE,4001,2006,69390.0
95,AZ,COCHISE,4003,2006,127241.0
96,AZ,COCONINO,4005,2006,128695.0
97,AZ,GILA,4007,2006,52541.0
98,AZ,GRAHAM,4009,2006,33701.0
99,AZ,GREENLEE,4011,2006,7838.0
100,AZ,LA PAZ,4012,2006,20573.0
101,AZ,MARICOPA,4013,2006,3642884.0
102,AZ,MOHAVE,4015,2006,196168.0
103,AZ,NAVAJO,4017,2006,105624.0
104,AZ,PIMA,4019,2006,940930.0
105,AZ,PINAL,4021,2006,271328.0
106,AZ,SANTA CRUZ,4023,2006,44298.0
107,AZ,YAVAPAI,4025,2006,204082.0
108,AZ,YUMA,4027,2006,183848.0
183,CA,ALAMEDA,6001,2006,1444484.0
184,CA,ALPINE,6003,2006,1276.0
185,CA,AMADOR,6005,2006,38353.0
186,CA,BUTTE,6007,2006,216824.0
187,CA,CALAVERAS,6009,2006,46045.0
188,CA,COLUSA,6011,2006,20890.0
189,CA,CONTRA COSTA,6013,2006,1000834.0
190,CA,DEL NORTE,6015,2006,28211.0
191,CA,EL DORADO,6017,2006,176773.0
192,CA,FRESNO,6019,2006,883862.0
193,CA,GLENN,6021,2006,27652.0
194,CA,HUMBOLDT,6023,2006,132093.0
195,CA,IMPERIAL,6025,2006,160505.0
196,CA,INYO,6027,2006,18370.0
197,CA,KERN,6029,2006,784511.0
198,CA,KINGS,6031,2006,147712.0
199,CA,LAKE,6033,2006,64202.0
200,CA,LASSEN,6035,2006,34605.0
201,CA,LOS ANGELES,6037,2006,9737955.0
202,CA,MADERA,6039,2006,143622.0
203,CA,MARIN,6041,2006,244580.0
204,CA,MARIPOSA,6043,2006,18219.0
205,CA,MENDOCINO,6045,2006,87345.0
206,CA,MERCED,6047,2006,245338.0
207,CA,MODOC,6049,2006,9617.0
208,CA,MONO,6051,2006,13743.0
209,CA,MONTEREY,6053,2006,401831.0
210,CA,NAPA,6055,2006,131440.0
211,CA,NEVADA,6057,2006,97549.0
212,CA,ORANGE,6059,2006,2932261.0
213,CA,PLACER,6061,2006,321934.0
214,CA,PLUMAS,6063,2006,20762.0
215,CA,RIVERSIDE,6065,2006,2012370.0
216,CA,SACRAMENTO,6067,2006,1369563.0
217,CA,SAN BENITO,6069,2006,54124.0
218,CA,SAN BERNARDINO,6071,2006,1974140.0
219,CA,SAN DIEGO,6073,2006,2947289.0
220,CA,SAN FRANCISCO,6075,2006,768650.0
221,CA,SAN JOAQUIN,6077,2006,662812.0
222,CA,SAN LUIS OBISPO,6079,2006,260498.0
223,CA,SAN MATEO,6081,2006,690176.0
224,CA,SANTA BARBARA,6083,2006,408085.0
225,CA,SANTA CLARA,6085,2006,1691159.0
226,CA,SANTA CRUZ,6087,2006,251616.0
227,CA,SHASTA,6089,2006,176166.0
228,CA,SIERRA,6091,2006,3424.0
229,CA,SISKIYOU,6093,2006,44487.0
230,CA,SOLANO,6095,2006,408402.0
231,CA,SONOMA,6097,2006,465188.0
232,CA,STANISLAUS,6099,2006,504651.0
233,CA,SUTTER,6101,2006,91112.0
234,CA,TEHAMA,6103,2006,61587.0
235,CA,TRINITY,6105,2006,13634.0
236,CA,TULARE,6107,2006,414921.0
237,CA,TUOLUMNE,6109,2006,56680.0
238,CA,VENTURA,6111,2006,798183.0
239,CA,YOLO,6113,2006,189615.0
240,CA,YUBA,6115,2006,69272.0
317,FL,ALACHUA,12001,2006,239506.0
318,FL,BAKER,12003,2006,25571.0
319,FL,BAY,12005,2006,165644.0
320,FL,BRADFORD,12007,2006,28506.0
321,FL,BREVARD,12009,2006,535138.0
322,FL,BROWARD,12011,2006,1739348.0
323,FL,CALHOUN,12013,2006,13997.0
324,FL,CHARLOTTE,12015,2006,157099.0
325,FL,CITRUS,12017,2006,137826.0
326,FL,CLAY,12019,2006,178339.0
327,FL,COLLIER,12021,2006,312621.0
328,FL,COLUMBIA,12023,2006,65890.0
329,FL,DE SOTO,12027,2006,34300.0
330,FL,DIXIE,12029,2006,15892.0
331,FL,DUVAL,12031,2006,842098.0
332,FL,ESCAMBIA,12033,2006,300395.0
333,FL,FLAGLER,12035,2006,84339.0
334,FL,FRANKLIN,12037,2006,11308.0
335,FL,GADSDEN,12039,2006,45258.0
336,FL,GILCHRIST,12041,2006,16223.0
337,FL,GLADES,12043,2006,12297.0
338,FL,GULF,12045,2006,15856.0
339,FL,HAMILTON,12047,2006,14430.0
340,FL,HARDEE,12049,2006,27049.0
341,FL,HENDRY,12051,2006,38776.0
342,FL,HERNANDO,12053,2006,164398.0
343,FL,HIGHLANDS,12055,2006,97788.0
344,FL,HILLSBOROUGH,12057,2006,1171826.0
345,FL,HOLMES,12059,2006,19824.0
346,FL,INDIAN RIVER,12061,2006,131463.0
347,FL,JACKSON,12063,2006,48265.0
348,FL,JEFFERSON,12065,2006,14461.0
349,FL,LAFAYETTE,12067,2006,8341.0
350,FL,LAKE,12069,2006,281329.0
351,FL,LEE,12071,2006,582678.0
352,FL,LEON,12073,2006,263076.0
353,FL,LEVY,12075,2006,39447.0
354,FL,LIBERTY,12077,2006,8011.0
355,FL,MADISON,12079,2006,19299.0
356,FL,MANATEE,12081,2006,313771.0
357,FL,MARION,12083,2006,316310.0
358,FL,MARTIN,12085,2006,141802.0
359,FL,MIAMI-DADE,12086,2006,2405911.0
360,FL,MONROE,12087,2006,73793.0
361,FL,NASSAU,12089,2006,67823.0
362,FL,OKALOOSA,12091,2006,184071.0
363,FL,OKEECHOBEE,12093,2006,39668.0
364,FL,ORANGE,12095,2006,1083429.0
365,FL,OSCEOLA,12097,2006,242081.0
366,FL,PALM BEACH,12099,2006,1284489.0
367,FL,PASCO,12101,2006,439529.0
368,FL,PINELLAS,12103,2006,924182.0
369,FL,POLK,12105,2006,568324.0
370,FL,PUTNAM,12107,2006,74663.0
371,FL,SAINT JOHNS,12109,2006,168480.0
372,FL,SAINT LUCIE,12111,2006,255251.0
373,FL,SANTA ROSA,12113,2006,142983.0
374,FL,SARASOTA,12115,2006,371361.0
375,FL,SEMINOLE,12117,2006,413218.0
376,FL,SUMTER,12119,2006,76202.0
377,FL,SUWANNEE,12121,2006,39533.0
378,FL,TAYLOR,12123,2006,20793.0
379,FL,UNION,12125,2006,14873.0
380,FL,VOLUSIA,12127,2006,494748.0
381,FL,WAKULLA,12129,2006,27785.0
382,FL,WALTON,12131,2006,51145.0
383,FL,WASHINGTON,12133,2006,22860.0
384,GA,APPLING,13001,2006,17725.0
385,GA,ATKINSON,13003,2006,8197.0
386,GA,BACON,13005,2006,10682.0
387,GA,BAKER,13007,2006,3877.0
388,GA,BALDWIN,13009,2006,46513.0
389,GA,BANKS,13011,2006,17076.0
390,GA,BARROW,13013,2006,61395.0
391,GA,BARTOW,13015,2006,92983.0
392,GA,BEN HILL,13017,2006,17525.0
393,GA,BERRIEN,13019,2006,18051.0
394,GA,BIBB,13021,2006,154510.0
395,GA,BLECKLEY,13023,2006,12553.0
396,GA,BRANTLEY,13025,2006,16895.0
397,GA,BROOKS,13027,2006,16309.0
398,GA,BRYAN,13029,2006,27346.0
399,GA,BULLOCH,13031,2006,64304.0
400,GA,BURKE,13033,2006,22875.0
401,GA,BUTTS,13035,2006,22669.0
402,GA,CALHOUN,13037,2006,6350.0
403,GA,CAMDEN,13039,2006,47086.0
404,GA,CANDLER,13043,2006,10388.0
405,GA,CARROLL,13045,2006,105853.0
406,GA,CATOOSA,13047,2006,61095.0
407,GA,CHARLTON,13049,2006,12089.0
408,GA,CHATHAM,13051,2006,246896.0
409,GA,CHATTAHOOCHEE,13053,2006,11828.0
410,GA,CHATTOOGA,13055,2006,25640.0
411,GA,CHEROKEE,13057,2006,193241.0
412,GA,CLARKE,13059,2006,112074.0
413,GA,CLAY,13061,2006,3232.0
