,Year,County,Morphine_equ,State,FIPS,Deaths,Year_Changed,Population,Deaths_PC,Morphine_Equivalents_PC
10056,2003.0,ALPINE,0.0,CA,,0.0,Control,1188.0,0.0,0.0
10650,2003.0,MOTLEY,0.0,TX,,0.0,2007,1318.0,0.0,0.0
10651,2003.0,NACOGDOCHES,0.0,TX,,0.0,2007,59537.0,0.0,0.0
10652,2003.0,NAVARRO,0.0,TX,,0.0,2007,47361.0,0.0,0.0
10653,2003.0,NEWTON,0.0,TX,,0.0,2007,14845.0,0.0,0.0
10654,2003.0,NOLAN,0.0,TX,,0.0,2007,15155.0,0.0,0.0
10655,2003.0,OCHILTREE,0.0,TX,,0.0,2007,8961.0,0.0,0.0
10656,2003.0,OLDHAM,0.0,TX,,0.0,2007,2168.0,0.0,0.0
10657,2003.0,PALO PINTO,0.0,TX,,0.0,2007,27337.0,0.0,0.0
10658,2003.0,PANOLA,0.0,TX,,0.0,2007,22855.0,0.0,0.0
10659,2003.0,PARMER,0.0,TX,,0.0,2007,9893.0,0.0,0.0
10660,2003.0,PECOS,0.0,TX,,0.0,2007,16011.0,0.0,0.0
10661,2003.0,POLK,0.0,TX,,0.0,2007,45514.0,0.0,0.0
10662,2003.0,POTTER,0.0,TX,,0.0,2007,117642.0,0.0,0.0
10649,2003.0,MORRIS,0.0,TX,,0.0,2007,13210.0,0.0,0.0
10663,2003.0,PRESIDIO,0.0,TX,,0.0,2007,7605.0,0.0,0.0
10665,2003.0,RANDALL,0.0,TX,,0.0,2007,107287.0,0.0,0.0
10666,2003.0,REAGAN,0.0,TX,,0.0,2007,3073.0,0.0,0.0
10667,2003.0,REAL,0.0,TX,,0.0,2007,3028.0,0.0,0.0
10668,2003.0,RED RIVER,0.0,TX,,0.0,2007,13735.0,0.0,0.0
10669,2003.0,REEVES,0.0,TX,,0.0,2007,12201.0,0.0,0.0
10670,2003.0,REFUGIO,0.0,TX,,0.0,2007,7579.0,0.0,0.0
10671,2003.0,ROBERTS,0.0,TX,,0.0,2007,823.0,0.0,0.0
10672,2003.0,ROBERTSON,0.0,TX,,0.0,2007,15963.0,0.0,0.0
10673,2003.0,ROCKWALL,0.0,TX,,0.0,2007,54724.0,0.0,0.0
10674,2003.0,RUNNELS,0.0,TX,,0.0,2007,10933.0,0.0,0.0
10675,2003.0,RUSK,0.0,TX,,0.0,2007,47660.0,0.0,0.0
10676,2003.0,SABINE,0.0,TX,,0.0,2007,10419.0,0.0,0.0
10677,2003.0,SAN AUGUSTINE,0.0,TX,,0.0,2007,8886.0,0.0,0.0
10664,2003.0,RAINS,0.0,TX,,0.0,2007,10846.0,0.0,0.0
10648,2003.0,MOORE,0.0,TX,,0.0,2007,20198.0,0.0,0.0
10647,2003.0,MONTAGUE,0.0,TX,,0.0,2007,19442.0,0.0,0.0
10646,2003.0,MITCHELL,0.0,TX,,0.0,2007,9443.0,0.0,0.0
10617,2003.0,KNOX,0.0,TX,,0.0,2007,3955.0,0.0,0.0
10618,2003.0,LAMAR,0.0,TX,,0.0,2007,49545.0,0.0,0.0
10619,2003.0,LAMB,0.0,TX,,0.0,2007,14672.0,0.0,0.0
10620,2003.0,LAMPASAS,0.0,TX,,0.0,2007,19306.0,0.0,0.0
10621,2003.0,LA SALLE,0.0,TX,,0.0,2007,5893.0,0.0,0.0
10622,2003.0,LAVACA,0.0,TX,,0.0,2007,18999.0,0.0,0.0
10623,2003.0,LEE,0.0,TX,,0.0,2007,16473.0,0.0,0.0
10624,2003.0,LEON,0.0,TX,,0.0,2007,16029.0,0.0,0.0
10625,2003.0,LIBERTY,0.0,TX,,0.0,2007,74105.0,0.0,0.0
10626,2003.0,LIMESTONE,0.0,TX,,0.0,2007,22554.0,0.0,0.0
10627,2003.0,LIPSCOMB,0.0,TX,,0.0,2007,3099.0,0.0,0.0
10628,2003.0,LIVE OAK,0.0,TX,,0.0,2007,11837.0,0.0,0.0
10629,2003.0,LLANO,0.0,TX,,0.0,2007,18088.0,0.0,0.0
10630,2003.0,LOVING,0.0,TX,,0.0,2007,63.0,0.0,0.0
10631,2003.0,LYNN,0.0,TX,,0.0,2007,6223.0,0.0,0.0
10632,2003.0,MCCULLOCH,0.0,TX,,0.0,2007,7943.0,0.0,0.0
10633,2003.0,MCLENNAN,0.0,TX,,0.0,2007,219563.0,0.0,0.0
10634,2003.0,MCMULLEN,0.0,TX,,0.0,2007,882.0,0.0,0.0
10635,2003.0,MADISON,0.0,TX,,0.0,2007,13019.0,0.0,0.0
10636,2003.0,MARION,0.0,TX,,0.0,2007,11109.0,0.0,0.0
10637,2003.0,MARTIN,0.0,TX,,0.0,2007,4545.0,0.0,0.0
10638,2003.0,MASON,0.0,TX,,0.0,2007,3775.0,0.0,0.0
10639,2003.0,MATAGORDA,0.0,TX,,0.0,2007,38251.0,0.0,0.0
10640,2003.0,MAVERICK,0.0,TX,,0.0,2007,49873.0,0.0,0.0
10641,2003.0,MEDINA,0.0,TX,,0.0,2007,41581.0,0.0,0.0
10642,2003.0,MENARD,0.0,TX,,0.0,2007,2330.0,0.0,0.0
10643,2003.0,MIDLAND,0.0,TX,,0.0,2007,118866.0,0.0,0.0
10644,2003.0,MILAM,0.0,TX,,0.0,2007,25021.0,0.0,0.0
10645,2003.0,MILLS,0.0,TX,,0.0,2007,5058.0,0.0,0.0
10678,2003.0,SAN JACINTO,0.0,TX,,0.0,2007,23921.0,0.0,0.0
10679,2003.0,SAN PATRICIO,0.0,TX,,0.0,2007,67510.0,0.0,0.0
10680,2003.0,SAN SABA,0.0,TX,,0.0,2007,6047.0,0.0,0.0
10681,2003.0,SCHLEICHER,0.0,TX,,0.0,2007,2790.0,0.0,0.0
10715,2003.0,WINKLER,0.0,TX,,0.0,2007,6780.0,0.0,0.0
10716,2003.0,WISE,0.0,TX,,0.0,2007,54401.0,0.0,0.0
10717,2003.0,WOOD,0.0,TX,,0.0,2007,39407.0,0.0,0.0
10718,2003.0,YOAKUM,0.0,TX,,0.0,2007,7269.0,0.0,0.0
10719,2003.0,YOUNG,0.0,TX,,0.0,2007,17960.0,0.0,0.0
10720,2003.0,ZAPATA,0.0,TX,,0.0,2007,12923.0,0.0,0.0
10721,2003.0,ZAVALA,0.0,TX,,0.0,2007,11645.0,0.0,0.0
12197,2003.0,CRAWFORD,0.0,GA,,0.0,Control,12647.0,0.0,0.0
12198,2003.0,CRISP,0.0,GA,,0.0,Control,22021.0,0.0,0.0
12199,2003.0,DADE,0.0,GA,,0.0,Control,15932.0,0.0,0.0
12200,2003.0,DAWSON,0.0,GA,,0.0,Control,18548.0,0.0,0.0
12201,2003.0,DECATUR,0.0,GA,,0.0,Control,28383.0,0.0,0.0
12202,2003.0,DODGE,0.0,GA,,0.0,Control,19472.0,0.0,0.0
12203,2003.0,DOOLY,0.0,GA,,0.0,Control,11599.0,0.0,0.0
12204,2003.0,DOUGHERTY,0.0,GA,,0.0,Control,95719.0,0.0,0.0
12205,2003.0,DOUGLAS,0.0,GA,,0.0,Control,101905.0,0.0,0.0
12206,2003.0,EARLY,0.0,GA,,0.0,Control,12234.0,0.0,0.0
12207,2003.0,ECHOLS,0.0,GA,,0.0,Control,3990.0,0.0,0.0
12208,2003.0,EFFINGHAM,0.0,GA,,0.0,Control,42786.0,0.0,0.0
12209,2003.0,ELBERT,0.0,GA,,0.0,Control,20699.0,0.0,0.0
12210,2003.0,EMANUEL,0.0,GA,,0.0,Control,21936.0,0.0,0.0
12211,2003.0,EVANS,0.0,GA,,0.0,Control,11292.0,0.0,0.0
12212,2003.0,FANNIN,0.0,GA,,0.0,Control,21228.0,0.0,0.0
12213,2003.0,FAYETTE,0.0,GA,,0.0,Control,98837.0,0.0,0.0
12214,2003.0,FLOYD,0.0,GA,,0.0,Control,93426.0,0.0,0.0
12215,2003.0,FORSYTH,0.0,GA,,0.0,Control,124213.0,0.0,0.0
12216,2003.0,FRANKLIN,0.0,GA,,0.0,Control,21202.0,0.0,0.0
12217,2003.0,GILMER,0.0,GA,,0.0,Control,25995.0,0.0,0.0
12218,2003.0,GLASCOCK,0.0,GA,,0.0,Control,2589.0,0.0,0.0
10714,2003.0,WILSON,0.0,TX,,0.0,2007,35343.0,0.0,0.0
10616,2003.0,KLEBERG,0.0,TX,,0.0,2007,31173.0,0.0,0.0
10713,2003.0,WILLACY,0.0,TX,,0.0,2007,20079.0,0.0,0.0
10711,2003.0,WHEELER,0.0,TX,,0.0,2007,4821.0,0.0,0.0
10682,2003.0,SCURRY,0.0,TX,,0.0,2007,15998.0,0.0,0.0
10683,2003.0,SHACKELFORD,0.0,TX,,0.0,2007,3286.0,0.0,0.0
10684,2003.0,SHELBY,0.0,TX,,0.0,2007,25910.0,0.0,0.0
10685,2003.0,SHERMAN,0.0,TX,,0.0,2007,3152.0,0.0,0.0
10686,2003.0,SMITH,0.0,TX,,0.0,2007,183851.0,0.0,0.0
10687,2003.0,SOMERVELL,0.0,TX,,0.0,2007,7311.0,0.0,0.0
10688,2003.0,SAINT ARR,0.0,TX,,0.0,2007,58069.0,0.0,0.0
10689,2003.0,SAINT EPHENS,0.0,TX,,0.0,2007,9514.0,0.0,0.0
10690,2003.0,SAINT ERLING,0.0,TX,,0.0,2007,1325.0,0.0,0.0
10691,2003.0,SAINT ONEWALL,0.0,TX,,0.0,2007,1458.0,0.0,0.0
10692,2003.0,SUTTON,0.0,TX,,0.0,2007,4058.0,0.0,0.0
10693,2003.0,SWISHER,0.0,TX,,0.0,2007,7976.0,0.0,0.0
10694,2003.0,TERRELL,0.0,TX,,0.0,2007,1013.0,0.0,0.0
10695,2003.0,TERRY,0.0,TX,,0.0,2007,12540.0,0.0,0.0
10696,2003.0,THROCKMORTON,0.0,TX,,0.0,2007,1679.0,0.0,0.0
10697,2003.0,TITUS,0.0,TX,,0.0,2007,28750.0,0.0,0.0
10698,2003.0,TRINITY,0.0,TX,,0.0,2007,14195.0,0.0,0.0
10699,2003.0,TYLER,0.0,TX,,0.0,2007,20624.0,0.0,0.0
10700,2003.0,UPSHUR,0.0,TX,,0.0,2007,37020.0,0.0,0.0
10701,2003.0,UPTON,0.0,TX,,0.0,2007,3186.0,0.0,0.0
10702,2003.0,UVALDE,0.0,TX,,0.0,2007,26518.0,0.0,0.0
10703,2003.0,VAL VERDE,0.0,TX,,0.0,2007,46709.0,0.0,0.0
10704,2003.0,VAN ZANDT,0.0,TX,,0.0,2007,50865.0,0.0,0.0
10705,2003.0,VICTORIA,0.0,TX,,0.0,2007,85410.0,0.0,0.0
10706,2003.0,WALKER,0.0,TX,,0.0,2007,62343.0,0.0,0.0
10707,2003.0,WALLER,0.0,TX,,0.0,2007,34599.0,0.0,0.0
10708,2003.0,WARD,0.0,TX,,0.0,2007,10318.0,0.0,0.0
10709,2003.0,WASHINGTON,0.0,TX,,0.0,2007,30978.0,0.0,0.0
10710,2003.0,WHARTON,0.0,TX,,0.0,2007,41331.0,0.0,0.0
10712,2003.0,WILBARGER,0.0,TX,,0.0,2007,14184.0,0.0,0.0
12219,2003.0,GLYNN,0.0,GA,,0.0,Control,70356.0,0.0,0.0
10615,2003.0,KINNEY,0.0,TX,,0.0,2007,3335.0,0.0,0.0
10613,2003.0,KIMBLE,0.0,TX,,0.0,2007,4524.0,0.0,0.0
10519,2003.0,CALLAHAN,0.0,TX,,0.0,2007,13096.0,0.0,0.0
10520,2003.0,CAMERON,0.0,TX,,0.0,2007,362372.0,0.0,0.0
10521,2003.0,CAMP,0.0,TX,,0.0,2007,11773.0,0.0,0.0
10522,2003.0,CARSON,0.0,TX,,0.0,2007,6532.0,0.0,0.0
10523,2003.0,CASS,0.0,TX,,0.0,2007,30042.0,0.0,0.0
10524,2003.0,CASTRO,0.0,TX,,0.0,2007,7877.0,0.0,0.0
10525,2003.0,CHAMBERS,0.0,TX,,0.0,2007,27558.0,0.0,0.0
10526,2003.0,CHEROKEE,0.0,TX,,0.0,2007,47645.0,0.0,0.0
10527,2003.0,CHILDRESS,0.0,TX,,0.0,2007,7627.0,0.0,0.0
10528,2003.0,CLAY,0.0,TX,,0.0,2007,11320.0,0.0,0.0
10529,2003.0,COCHRAN,0.0,TX,,0.0,2007,3478.0,0.0,0.0
10530,2003.0,COKE,0.0,TX,,0.0,2007,3762.0,0.0,0.0
10531,2003.0,COLEMAN,0.0,TX,,0.0,2007,8784.0,0.0,0.0
10518,2003.0,CALHOUN,0.0,TX,,0.0,2007,20435.0,0.0,0.0
10532,2003.0,COLLINGSWORTH,0.0,TX,,0.0,2007,3068.0,0.0,0.0
10534,2003.0,COMANCHE,0.0,TX,,0.0,2007,13554.0,0.0,0.0
10535,2003.0,CONCHO,0.0,TX,,0.0,2007,3799.0,0.0,0.0
10536,2003.0,COOKE,0.0,TX,,0.0,2007,38084.0,0.0,0.0
10537,2003.0,CORYELL,0.0,TX,,0.0,2007,75468.0,0.0,0.0
10538,2003.0,COTTLE,0.0,TX,,0.0,2007,1755.0,0.0,0.0
10539,2003.0,CRANE,0.0,TX,,0.0,2007,3861.0,0.0,0.0
10540,2003.0,CROCKETT,0.0,TX,,0.0,2007,3923.0,0.0,0.0
10541,2003.0,CROSBY,0.0,TX,,0.0,2007,6757.0,0.0,0.0
10542,2003.0,CULBERSON,0.0,TX,,0.0,2007,2777.0,0.0,0.0
10543,2003.0,DALLAM,0.0,TX,,0.0,2007,6123.0,0.0,0.0
10544,2003.0,DAWSON,0.0,TX,,0.0,2007,14532.0,0.0,0.0
10545,2003.0,DEAF SMITH,0.0,TX,,0.0,2007,18399.0,0.0,0.0
10546,2003.0,DELTA,0.0,TX,,0.0,2007,5390.0,0.0,0.0
10533,2003.0,COLORADO,0.0,TX,,0.0,2007,20696.0,0.0,0.0
10517,2003.0,CALDWELL,0.0,TX,,0.0,2007,35554.0,0.0,0.0
13721,2003.0,ADAMS,0.0,WA,,0.0,2012,16627.0,0.0,0.0
13722,2003.0,ASOTIN,0.0,WA,,0.0,2012,20571.0,0.0,0.0
12194,2003.0,COLUMBIA,0.0,GA,,0.0,Control,97227.0,0.0,0.0
12195,2003.0,COOK,0.0,GA,,0.0,Control,16097.0,0.0,0.0
12196,2003.0,COWETA,0.0,GA,,0.0,Control,101577.0,0.0,0.0
13748,2003.0,WHITMAN,0.0,WA,,0.0,2012,39991.0,0.0,0.0
13747,2003.0,WALLA WALLA,0.0,WA,,0.0,2012,56743.0,0.0,0.0
13746,2003.0,WAHKIAKUM,0.0,WA,,0.0,2012,3717.0,0.0,0.0
13745,2003.0,SAINT EVENS,0.0,WA,,0.0,2012,40938.0,0.0,0.0
13744,2003.0,SKAMANIA,0.0,WA,,0.0,2012,10274.0,0.0,0.0
13743,2003.0,SAN JUAN,0.0,WA,,0.0,2012,14835.0,0.0,0.0
13742,2003.0,PEND OREILLE,0.0,WA,,0.0,2012,12233.0,0.0,0.0
