Year,County_FIPS,BUYER_COUNTY,Morphine_equ
2006,12001,ALACHUA,82596.6186877293
2006,12003,BAKER,11900.178637500152
2006,12005,BAY,61998.10247207856
2006,12007,BRADFORD,13424.830894900231
2006,12009,BREVARD,201186.1534030964
2006,12011,BROWARD,1222607.3896553789
2006,12013,CALHOUN,1851.9058230000117
2006,12015,CHARLOTTE,82123.59715794155
2006,12017,CITRUS,49646.89102934089
2006,12019,CLAY,69327.28997720485
2006,12021,COLLIER,107528.68073415474
2006,12023,COLUMBIA,27550.681708588032
2006,12027,DE SOTO,7179.580011500067
2006,12029,DIXIE,2952.7461250000056
2006,12031,DUVAL,293452.9754727002
2006,12033,ESCAMBIA,96186.44732702237
2006,12035,FLAGLER,21015.01938367547
2006,12037,FRANKLIN,2174.577223000009
2006,12039,GADSDEN,6021.017100225093
2006,12041,GILCHRIST,4032.605950000007
2006,12045,GULF,3543.3416160000033
2006,12047,HAMILTON,1804.8995505000073
2006,12049,HARDEE,3682.5681049999953
2006,12051,HENDRY,16527.160282500317
2006,12053,HERNANDO,78727.92757445497
2006,12055,HIGHLANDS,22995.715222501018
2006,12057,HILLSBOROUGH,1027723.7849867414
2006,12059,HOLMES,5115.280070000033
2006,12061,INDIAN RIVER,43237.35108176451
2006,12063,JACKSON,9866.87533750018
2006,12065,JEFFERSON,1465.4849204999978
2006,12067,LAFAYETTE,1215.7013750000024
2006,12069,LAKE,64563.419322430826
2006,12071,LEE,309886.7067442962
2006,12073,LEON,43067.63904172785
2006,12075,LEVY,18659.653543000506
2006,12077,LIBERTY,628.4498325000004
2006,12079,MADISON,2315.6333313624987
2006,12081,MANATEE,150205.64369562527
2006,12083,MARION,114208.97585439957
2006,12085,MARTIN,68573.12878736468
2006,12086,MIAMI-DADE,303039.7180859787
2006,12087,MONROE,42203.180115727446
2006,12089,NASSAU,26318.179441313612
2006,12091,OKALOOSA,51768.87854175236
2006,12093,OKEECHOBEE,20628.537535312924
2006,12095,ORANGE,249616.1813477574
2006,12097,OSCEOLA,50817.7219688153
2006,12099,PALM BEACH,645319.1794897038
2006,12101,PASCO,268426.05337068974
2006,12103,PINELLAS,607000.7514847196
2006,12105,POLK,178941.7804374425
2006,12107,PUTNAM,38637.50297338853
2006,12109,SAINT JOHNS,43666.0835257272
2006,12111,SAINT LUCIE,95970.4534293669
2006,12113,SANTA ROSA,44111.67851095136
2006,12115,SARASOTA,186351.13329228776
2006,12117,SEMINOLE,134735.66849282285
2006,12119,SUMTER,12822.86720500025
2006,12121,SUWANNEE,9345.596314950142
